country,year,sex,age,suicides_no,population,suicides/100k pop,generation,gdp_for_year ($) ,gdp_per_capita ($)
Albania,2000,male,25-34 years,17,232000,7.33,Generation X,"3,63,20,43,908",1299
Albania,2000,male,55-74 years,10,177400,5.64,Silent,"3,63,20,43,908",1299
Albania,2000,female,75+ years,2,37800,5.29,G.I. Generation,"3,63,20,43,908",1299
Albania,2000,male,75+ years,1,24900,4.02,G.I. Generation,"3,63,20,43,908",1299
Albania,2000,female,15-24 years,6,263900,2.27,Generation X,"3,63,20,43,908",1299
Albania,2000,male,15-24 years,5,240000,2.08,Generation X,"3,63,20,43,908",1299
Albania,2000,female,35-54 years,5,332200,1.51,Boomers,"3,63,20,43,908",1299
Albania,2000,female,25-34 years,3,245800,1.22,Generation X,"3,63,20,43,908",1299
Albania,2000,male,35-54 years,4,374700,1.07,Boomers,"3,63,20,43,908",1299
Albania,2000,male,5-14 years,1,374900,0.27,Millenials,"3,63,20,43,908",1299
Albania,2000,female,5-14 years,0,324700,0,Millenials,"3,63,20,43,908",1299
Albania,2000,female,55-74 years,0,168000,0,Silent,"3,63,20,43,908",1299
Albania,2001,male,25-34 years,22,206484,10.65,Generation X,"4,06,07,58,804",1451
Albania,2001,male,35-54 years,34,378826,8.98,Boomers,"4,06,07,58,804",1451
Albania,2001,male,55-74 years,11,196670,5.59,Silent,"4,06,07,58,804",1451
Albania,2001,female,75+ years,2,47254,4.23,Silent,"4,06,07,58,804",1451
Albania,2001,male,15-24 years,10,256039,3.91,Millenials,"4,06,07,58,804",1451
Albania,2001,female,15-24 years,9,271359,3.32,Millenials,"4,06,07,58,804",1451
Albania,2001,female,35-54 years,12,370191,3.24,Boomers,"4,06,07,58,804",1451
Albania,2001,male,75+ years,1,31044,3.22,Silent,"4,06,07,58,804",1451
Albania,2001,female,55-74 years,6,189799,3.16,Silent,"4,06,07,58,804",1451
Albania,2001,male,5-14 years,6,321556,1.87,Millenials,"4,06,07,58,804",1451
Albania,2001,female,25-34 years,4,222771,1.8,Generation X,"4,06,07,58,804",1451
Albania,2001,female,5-14 years,2,307356,0.65,Millenials,"4,06,07,58,804",1451
Albania,2002,male,75+ years,4,31007,12.9,Silent,"4,43,50,78,648",1573
Albania,2002,male,25-34 years,23,206286,11.15,Generation X,"4,43,50,78,648",1573
Albania,2002,male,35-54 years,35,382139,9.16,Boomers,"4,43,50,78,648",1573
Albania,2002,male,55-74 years,13,198130,6.56,Silent,"4,43,50,78,648",1573
Albania,2002,male,15-24 years,15,263067,5.7,Millenials,"4,43,50,78,648",1573
Albania,2002,female,15-24 years,14,275970,5.07,Millenials,"4,43,50,78,648",1573
Albania,2002,female,35-54 years,15,375113,4,Boomers,"4,43,50,78,648",1573
Albania,2002,female,25-34 years,7,223685,3.13,Generation X,"4,43,50,78,648",1573
Albania,2002,female,75+ years,1,47407,2.11,Silent,"4,43,50,78,648",1573
